row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
683,강원도,양구군,0.07142857142857142
683,강원도,영월군,0.07142857142857142
683,강원도,원주시,0.07142857142857142
683,강원도,인제군,0.07142857142857142
683,강원도,정선군,0.07142857142857142
683,강원도,철원군,0.07142857142857142
683,강원도,태백시,0.07142857142857142
683,강원도,평창군,0.07142857142857142
683,강원도,홍천군,0.07142857142857142
684,전라남도,여수시,1.0
688,충청남도,보령시,1.0
689,경상북도,경주시,0.5
689,경상북도,포항시,0.5
690,전라남도,화순군,1.0
691,강원도,강릉시,1.0
692,경기도,가평군,0.5
692,경기도,포천시,0.5
694,강원도,홍천군,1.0
695,제주도,서귀포시(시내동),0.3333333333333333
695,제주도,애월읍,0.3333333333333333
695,제주도,한경면,0.3333333333333333
696,충청남도,금산군,1.0
697,강원도,속초시,1.0
698,경상남도,거창군,1.0
699,제주도,서귀포시(시내동),0.25
699,제주도,성산읍,0.25
699,제주도,애월읍,0.25
699,제주도,제주시(시내동),0.25
701,충청남도,당진시,1.0
702,강원도,강릉시,1.0
703,충청북도,단양군,1.0
704,전라북도,완주군,1.0
705,충청남도,세종특별자치시,1.0
706,강원도,속초시,1.0
708,강원도,강릉시,0.3333333333333333
708,강원도,동해시,0.3333333333333333
708,강원도,삼척시,0.3333333333333333
710,전라남도,여수시,1.0
712,경상북도,안동시,1.0
714,경상북도,영덕군,1.0
715,제주도,제주시(시내동),1.0
716,경상남도,사천시,0.25
716,경상남도,진주시,0.25
716,경상남도,통영시,0.25
716,경상남도,합천군,0.25
717,충청북도,단양군,0.5
717,충청북도,제천시,0.5
718,충청북도,충주시(구 청원군 포함),1.0
720,전라남도,구례군,1.0
721,강원도,춘천시,1.0
722,경기도,양평군,1.0
723,강원도,고성군,1.0
724,경기도,가평군,1.0
725,충청북도,단양군,1.0
726,제주도,구좌읍,0.3333333333333333
726,제주도,애월읍,0.3333333333333333
726,제주도,추자면,0.3333333333333333
729,전라남도,담양군,1.0
732,강원도,양양군,1.0
733,경상북도,성주군,1.0
734,전라남도,화순군,1.0
736,경기도,남양주시,1.0
737,강원도,고성군,0.5
737,강원도,삼척시,0.5
738,충청남도,공주시,0.5
738,충청남도,세종특별자치시,0.5
739,경기도,성남시,1.0
740,충청북도,보은군,1.0
741,전라남도,여수시,1.0
742,전라북도,남원시,1.0
744,전라북도,정읍시,1.0
745,강원도,동해시,0.5
745,강원도,양양군,0.5
746,전라북도,무주군,1.0
747,경기도,김포시,1.0
748,전라남도,구례군,1.0
750,충청남도,천안시,1.0
751,경상북도,문경시,1.0
752,전라북도,군산시,1.0
753,강원도,속초시,1.0
754,경상북도,포항시,1.0
755,충청북도,보은군,1.0
756,전라남도,목포시,1.0
757,경기도,양주시,1.0
758,강원도,강릉시,1.0
762,강원도,동해시,0.5
762,강원도,삼척시,0.5
763,경상남도,진주시,1.0
764,전라남도,진도군,1.0
765,전라북도,군산시,1.0
767,경상북도,의성군,1.0
768,강원도,강릉시,1.0
769,강원도,강릉시,0.5
769,강원도,평창군,0.5
770,충청북도,괴산군,1.0
771,전라북도,군산시,1.0
773,강원도,속초시,1.0
775,충청북도,단양군,0.3333333333333333
775,충청북도,제천시,0.3333333333333333
775,충청북도,충주시(구 청원군 포함),0.3333333333333333
776,경상북도,영덕군,1.0
777,강원도,강릉시,1.0
778,강원도,원주시,1.0
779,강원도,강릉시,0.3333333333333333
779,강원도,원주시,0.3333333333333333
779,강원도,정선군,0.3333333333333333
781,제주도,애월읍,1.0
782,강원도,원주시,1.0
783,경기도,파주시,1.0
784,경기도,포천시,1.0
785,경상북도,청송군,1.0
788,전라남도,순천시,0.5
788,전라남도,여수시,0.5
789,충청남도,아산시,1.0
791,전라남도,진도군,1.0
792,강원도,평창군,1.0
793,경상남도,거제시,1.0
794,제주도,제주시(시내동),0.5
794,제주도,조천읍,0.5
795,제주도,서귀포시(시내동),1.0
797,전라남도,순천시,1.0
798,전라남도,고흥군,0.5
798,전라남도,무안군,0.5
799,전라남도,여수시,1.0
800,경기도,용인시,1.0
801,강원도,속초시,1.0
